Product,Quantity,Price,Date,Address,Total
LG Dryer,1,600.0,2019-12-05 08:10:00,"757 Church St, Seattle, WA 98101",600.0
AA Batteries (4-pack),1,3.84,2019-12-09 12:42:00,"825 Main St, San Francisco, CA 94016",3.84
Flatscreen TV,1,300.0,2019-12-04 09:59:00,"617 11th St, Austin, TX 73301",300.0
Apple Airpods Headphones,1,150.0,2019-12-24 20:56:00,"199 5th St, San Francisco, CA 94016",150.0
USB-C Charging Cable,1,11.95,2019-12-06 19:16:00,"95 5th St, New York City, NY 10001",11.95
AAA Batteries (4-pack),1,2.99,2019-12-14 20:37:00,"867 Cherry St, Portland, OR 97035",2.99
Macbook Pro Laptop,1,1700.0,2019-12-13 13:24:00,"811 2nd St, Boston, MA 02215",1700.0
AA Batteries (4-pack),1,3.84,2019-12-02 19:07:00,"515 Highland St, Portland, OR 97035",3.84
Bose SoundSport Headphones,1,99.99,2019-12-29 15:47:00,"868 9th St, New York City, NY 10001",99.99
AA Batteries (4-pack),1,3.84,2019-12-12 15:53:00,"657 Maple St, Portland, ME 04101",3.84
Flatscreen TV,1,300.0,2019-12-18 13:57:00,"800 Lincoln St, Atlanta, GA 30301",300.0
AAA Batteries (4-pack),1,2.99,2019-12-27 21:23:00,"929 North St, San Francisco, CA 94016",2.99
USB-C Charging Cable,2,11.95,2019-12-27 21:23:00,"929 North St, San Francisco, CA 94016",23.9
AAA Batteries (4-pack),1,2.99,2019-12-21 12:00:00,"240 Ridge St, San Francisco, CA 94016",2.99
Macbook Pro Laptop,1,1700.0,2019-12-15 17:28:00,"309 10th St, Atlanta, GA 30301",1700.0
USB-C Charging Cable,1,11.95,2019-12-28 17:23:00,"635 8th St, Atlanta, GA 30301",11.95
Lightning Charging Cable,2,14.95,2019-12-19 17:56:00,"838 Lakeview St, Dallas, TX 75001",29.9
USB-C Charging Cable,1,11.95,2019-12-10 12:13:00,"518 8th St, New York City, NY 10001",11.95
Bose SoundSport Headphones,1,99.99,2019-12-03 11:42:00,"267 North St, Portland, ME 04101",99.99
Lightning Charging Cable,1,14.95,2019-12-14 20:05:00,"152 Elm St, Portland, OR 97035",14.95
Google Phone,1,600.0,2019-12-07 16:17:00,"532 Pine St, Los Angeles, CA 90001",600.0
Apple Airpods Headphones,1,150.0,2019-12-11 21:27:00,"60 4th St, Portland, OR 97035",150.0
Wired Headphones,1,11.99,2019-12-29 11:51:00,"723 13th St, Atlanta, GA 30301",11.99
AAA Batteries (4-pack),1,2.99,2019-12-01 09:47:00,"593 Cherry St, Seattle, WA 98101",2.99
27in FHD Monitor,1,149.99,2019-12-26 00:27:00,"27 South St, Los Angeles, CA 90001",149.99
AAA Batteries (4-pack),1,2.99,2019-12-18 14:02:00,"206 Maple St, Boston, MA 02215",2.99
AAA Batteries (4-pack),1,2.99,2019-12-11 23:00:00,"585 South St, Austin, TX 73301",2.99
AA Batteries (4-pack),1,3.84,2019-12-01 11:33:00,"273 Lincoln St, Austin, TX 73301",3.84
27in 4K Gaming Monitor,1,389.99,2019-12-22 14:27:00,"49 Hill St, Boston, MA 02215",389.99
USB-C Charging Cable,1,11.95,2019-12-29 17:05:00,"374 13th St, New York City, NY 10001",11.95
USB-C Charging Cable,1,11.95,2019-12-06 14:53:00,"866 River St, Los Angeles, CA 90001",11.95
AAA Batteries (4-pack),1,2.99,2019-12-04 18:46:00,"422 Elm St, New York City, NY 10001",2.99
