Product,Quantity,Price,Date,Address,Total
Macbook Pro Laptop,1,1700.0,2019-12-30 00:01:00,"136 Church St, New York City, NY 10001",1700.0
LG Washing Machine,1,600.0,2019-12-29 07:03:00,"562 2nd St, New York City, NY 10001",600.0
USB-C Charging Cable,1,11.95,2019-12-12 18:21:00,"277 Main St, New York City, NY 10001",11.95
27in FHD Monitor,1,149.99,2019-12-22 15:13:00,"410 6th St, San Francisco, CA 94016",149.99
USB-C Charging Cable,1,11.95,2019-12-18 12:38:00,"43 Hill St, Atlanta, GA 30301",11.95
AA Batteries (4-pack),1,3.84,2019-12-31 22:58:00,"200 Jefferson St, New York City, NY 10001",3.84
USB-C Charging Cable,1,11.95,2019-12-16 15:10:00,"928 12th St, Portland, OR 97035",11.95
USB-C Charging Cable,2,11.95,2019-12-13 09:29:00,"813 Hickory St, Dallas, TX 75001",23.9
Bose SoundSport Headphones,1,99.99,2019-12-15 23:26:00,"718 Wilson St, Dallas, TX 75001",99.99
AAA Batteries (4-pack),4,2.99,2019-12-28 11:51:00,"77 7th St, Dallas, TX 75001",11.96
USB-C Charging Cable,2,11.95,2019-12-13 13:52:00,"594 1st St, San Francisco, CA 94016",23.9
ThinkPad Laptop,1,999.99,2019-12-28 17:19:00,"410 Lincoln St, Los Angeles, CA 90001",999.99
AA Batteries (4-pack),2,3.84,2019-12-20 19:19:00,"866 Pine St, Boston, MA 02215",7.68
AAA Batteries (4-pack),2,2.99,2019-12-06 09:38:00,"187 Lincoln St, Dallas, TX 75001",5.98
USB-C Charging Cable,1,11.95,2019-12-25 09:39:00,"902 2nd St, Dallas, TX 75001",11.95
Lightning Charging Cable,1,14.95,2019-12-01 14:30:00,"338 Main St, Austin, TX 73301",14.95
Google Phone,1,600.0,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",600.0
USB-C Charging Cable,1,11.95,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",11.95
Bose SoundSport Headphones,1,99.99,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",99.99
Wired Headphones,1,11.99,2019-12-25 12:37:00,"79 Elm St, Boston, MA 02215",11.99
USB-C Charging Cable,1,11.95,2019-12-23 19:25:00,"780 Elm St, Portland, OR 97035",11.95
Wired Headphones,1,11.99,2019-12-23 22:46:00,"341 Lake St, San Francisco, CA 94016",11.99
AAA Batteries (4-pack),4,2.99,2019-12-04 12:29:00,"936 Church St, San Francisco, CA 94016",11.96
Wired Headphones,1,11.99,2019-12-11 22:54:00,"662 Ridge St, San Francisco, CA 94016",11.99
USB-C Charging Cable,1,11.95,2019-12-17 16:10:00,"573 Maple St, Portland, ME 04101",11.95
Apple Airpods Headphones,1,150.0,2019-12-10 00:38:00,"531 Ridge St, Boston, MA 02215",150.0
Apple Airpods Headphones,1,150.0,2019-12-08 11:21:00,"546 Park St, Los Angeles, CA 90001",150.0
LG Washing Machine,1,600.0,2019-12-24 11:21:00,"173 Lake St, San Francisco, CA 94016",600.0
Apple Airpods Headphones,1,150.0,2019-12-04 00:44:00,"174 Cedar St, Seattle, WA 98101",150.0
Bose SoundSport Headphones,1,99.99,2019-12-22 18:34:00,"102 Johnson St, Los Angeles, CA 90001",99.99
AA Batteries (4-pack),2,3.84,2019-12-14 01:21:00,"640 Cherry St, Los Angeles, CA 90001",7.68
Wired Headphones,1,11.99,2019-12-16 16:40:00,"856 12th St, Atlanta, GA 30301",11.99
Lightning Charging Cable,1,14.95,2019-12-26 18:18:00,"310 Pine St, Dallas, TX 75001",14.95
Lightning Charging Cable,1,14.95,2019-12-14 06:09:00,"903 Lincoln St, Boston, MA 02215",14.95
Lightning Charging Cable,1,14.95,2019-12-23 13:09:00,"252 Hickory St, San Francisco, CA 94016",14.95
ThinkPad Laptop,1,999.99,2019-12-15 07:38:00,"742 River St, San Francisco, CA 94016",999.99
Vareebadd Phone,1,400.0,2019-12-13 14:32:00,"175 1st St, New York City, NY 10001",400.0
USB-C Charging Cable,2,11.95,2019-12-13 14:32:00,"175 1st St, New York City, NY 10001",23.9
AA Batteries (4-pack),1,3.84,2019-12-17 18:32:00,"162 Maple St, Seattle, WA 98101",3.84
Bose SoundSport Headphones,1,99.99,2019-12-25 19:02:00,"363 Hickory St, New York City, NY 10001",99.99
Bose SoundSport Headphones,1,99.99,2019-12-28 15:05:00,"751 North St, San Francisco, CA 94016",99.99
Wired Headphones,2,11.99,2019-12-21 18:50:00,"628 River St, Austin, TX 73301",23.98
AA Batteries (4-pack),1,3.84,2019-12-17 12:27:00,"502 Jefferson St, Austin, TX 73301",3.84
Bose SoundSport Headphones,1,99.99,2019-12-17 12:27:00,"502 Jefferson St, Austin, TX 73301",99.99
Wired Headphones,1,11.99,2019-12-12 00:20:00,"457 8th St, New York City, NY 10001",11.99
Wired Headphones,1,11.99,2019-12-25 10:41:00,"133 Jackson St, New York City, NY 10001",11.99
AAA Batteries (4-pack),3,2.99,2019-12-12 20:08:00,"599 Hill St, Los Angeles, CA 90001",8.97
Lightning Charging Cable,1,14.95,2019-12-07 11:01:00,"547 Ridge St, San Francisco, CA 94016",14.95
27in FHD Monitor,1,149.99,2019-12-13 14:55:00,"846 9th St, Boston, MA 02215",149.99
Bose SoundSport Headphones,1,99.99,2019-12-25 16:38:00,"662 6th St, San Francisco, CA 94016",99.99
AAA Batteries (4-pack),1,2.99,2019-12-26 19:09:00,"729 Pine St, Atlanta, GA 30301",2.99
AAA Batteries (4-pack),2,2.99,2019-12-04 13:43:00,"489 Johnson St, San Francisco, CA 94016",5.98
Macbook Pro Laptop,1,1700.0,2019-12-10 20:02:00,"331 Madison St, New York City, NY 10001",1700.0
Bose SoundSport Headphones,1,99.99,2019-12-24 07:55:00,"490 Spruce St, New York City, NY 10001",99.99
iPhone,1,700.0,2019-12-31 07:39:00,"826 Hickory St, Los Angeles, CA 90001",700.0
USB-C Charging Cable,2,11.95,2019-12-17 18:20:00,"169 Maple St, Seattle, WA 98101",23.9
20in Monitor,1,109.99,2019-12-03 23:28:00,"593 9th St, Los Angeles, CA 90001",109.99
Macbook Pro Laptop,1,1700.0,2019-12-25 09:51:00,"82 10th St, San Francisco, CA 94016",1700.0
Lightning Charging Cable,1,14.95,2019-12-27 17:25:00,"785 Chestnut St, San Francisco, CA 94016",14.95
27in FHD Monitor,1,149.99,2019-12-24 18:51:00,"334 2nd St, Los Angeles, CA 90001",149.99
AA Batteries (4-pack),1,3.84,2019-12-17 22:52:00,"298 Ridge St, New York City, NY 10001",3.84
34in Ultrawide Monitor,1,379.99,2019-12-08 18:22:00,"915 1st St, Seattle, WA 98101",379.99
Wired Headphones,1,11.99,2019-12-08 23:46:00,"380 Lake St, San Francisco, CA 94016",11.99
