Product,Quantity,Price,Date,Address,Total
Lightning Charging Cable,1,14.95,2019-12-03 10:54:00,"861 6th St, San Francisco, CA 94016",14.95
AA Batteries (4-pack),2,3.84,2019-12-01 16:55:00,"842 1st St, Atlanta, GA 30301",7.68
AA Batteries (4-pack),1,3.84,2019-12-04 11:30:00,"432 Park St, Los Angeles, CA 90001",3.84
Lightning Charging Cable,1,14.95,2019-12-25 13:41:00,"609 7th St, Boston, MA 02215",14.95
USB-C Charging Cable,1,11.95,2019-12-05 12:27:00,"41 Spruce St, Austin, TX 73301",11.95
LG Washing Machine,1,600.0,2019-12-04 18:21:00,"696 Cherry St, Dallas, TX 75001",600.0
Wired Headphones,1,11.99,2019-12-01 18:18:00,"775 West St, San Francisco, CA 94016",11.99
Flatscreen TV,1,300.0,2019-12-23 20:53:00,"941 Madison St, Boston, MA 02215",300.0
USB-C Charging Cable,1,11.95,2019-12-12 20:45:00,"789 1st St, San Francisco, CA 94016",11.95
Apple Airpods Headphones,1,150.0,2020-01-01 01:46:00,"636 Lakeview St, San Francisco, CA 94016",150.0
34in Ultrawide Monitor,1,379.99,2019-12-16 14:26:00,"343 Washington St, Boston, MA 02215",379.99
USB-C Charging Cable,1,11.95,2019-12-25 12:18:00,"244 South St, Boston, MA 02215",11.95
USB-C Charging Cable,1,11.95,2019-12-04 22:17:00,"979 8th St, Atlanta, GA 30301",11.95
Macbook Pro Laptop,1,1700.0,2019-12-29 14:03:00,"454 Jackson St, San Francisco, CA 94016",1700.0
Wired Headphones,1,11.99,2019-12-20 13:41:00,"186 Ridge St, San Francisco, CA 94016",11.99
20in Monitor,1,109.99,2019-12-06 13:32:00,"496 North St, Portland, OR 97035",109.99
AAA Batteries (4-pack),1,2.99,2019-12-17 11:53:00,"258 10th St, Austin, TX 73301",2.99
27in FHD Monitor,1,149.99,2019-12-20 18:57:00,"13 Hickory St, Seattle, WA 98101",149.99
Bose SoundSport Headphones,1,99.99,2019-12-05 15:19:00,"9 Dogwood St, Dallas, TX 75001",99.99
Wired Headphones,1,11.99,2019-12-02 17:13:00,"851 Highland St, New York City, NY 10001",11.99
Lightning Charging Cable,1,14.95,2019-12-06 08:11:00,"90 Adams St, Los Angeles, CA 90001",14.95
Bose SoundSport Headphones,1,99.99,2019-12-31 08:25:00,"456 13th St, New York City, NY 10001",99.99
Macbook Pro Laptop,1,1700.0,2019-12-26 16:55:00,"50 River St, Los Angeles, CA 90001",1700.0
AAA Batteries (4-pack),1,2.99,2019-12-13 14:58:00,"296 Meadow St, Los Angeles, CA 90001",2.99
iPhone,1,700.0,2019-12-18 11:05:00,"908 Meadow St, San Francisco, CA 94016",700.0
27in FHD Monitor,1,149.99,2019-12-26 22:35:00,"527 9th St, Seattle, WA 98101",149.99
USB-C Charging Cable,1,11.95,2019-12-07 14:58:00,"993 Hill St, Los Angeles, CA 90001",11.95
