Product,Quantity,Price,Date,Address,Total
USB-C Charging Cable,1,11.95,2019-12-02 17:36:00,"909 12th St, Portland, ME 04101",11.95
Lightning Charging Cable,1,14.95,2019-12-04 21:42:00,"712 Maple St, Los Angeles, CA 90001",14.95
Apple Airpods Headphones,1,150.0,2019-12-20 17:00:00,"474 10th St, Atlanta, GA 30301",150.0
AAA Batteries (4-pack),1,2.99,2019-12-29 23:47:00,"317 Pine St, Boston, MA 02215",2.99
Wired Headphones,1,11.99,2019-12-06 21:01:00,"724 Elm St, Atlanta, GA 30301",11.99
USB-C Charging Cable,1,11.95,2019-12-05 14:42:00,"474 Sunset St, Boston, MA 02215",11.95
AAA Batteries (4-pack),3,2.99,2019-12-31 00:34:00,"311 Maple St, San Francisco, CA 94016",8.97
Apple Airpods Headphones,1,150.0,2019-12-01 20:38:00,"932 Cherry St, Austin, TX 73301",150.0
AA Batteries (4-pack),1,3.84,2019-12-14 07:15:00,"88 Pine St, New York City, NY 10001",3.84
AAA Batteries (4-pack),2,2.99,2019-12-14 07:15:00,"88 Pine St, New York City, NY 10001",5.98
iPhone,1,700.0,2019-12-22 18:58:00,"467 Center St, Boston, MA 02215",700.0
Wired Headphones,1,11.99,2019-12-22 18:58:00,"467 Center St, Boston, MA 02215",11.99
USB-C Charging Cable,1,11.95,2019-12-01 10:49:00,"227 14th St, Portland, OR 97035",11.95
AA Batteries (4-pack),1,3.84,2019-12-17 16:04:00,"44 South St, Dallas, TX 75001",3.84
AA Batteries (4-pack),1,3.84,2019-12-15 07:24:00,"998 Meadow St, Portland, OR 97035",3.84
AAA Batteries (4-pack),1,2.99,2019-12-13 20:02:00,"475 Meadow St, San Francisco, CA 94016",2.99
Apple Airpods Headphones,1,150.0,2019-12-30 18:58:00,"785 Elm St, San Francisco, CA 94016",150.0
34in Ultrawide Monitor,1,379.99,2019-12-15 13:10:00,"178 Elm St, Atlanta, GA 30301",379.99
Lightning Charging Cable,1,14.95,2019-12-08 20:42:00,"540 5th St, Dallas, TX 75001",14.95
USB-C Charging Cable,1,11.95,2019-12-01 16:35:00,"362 Willow St, San Francisco, CA 94016",11.95
iPhone,1,700.0,2019-12-22 22:20:00,"516 Lincoln St, Los Angeles, CA 90001",700.0
27in FHD Monitor,1,149.99,2019-12-09 09:21:00,"77 Jefferson St, Seattle, WA 98101",149.99
AA Batteries (4-pack),1,3.84,2019-12-16 16:06:00,"543 5th St, San Francisco, CA 94016",3.84
AAA Batteries (4-pack),1,2.99,2019-12-22 22:30:00,"386 13th St, San Francisco, CA 94016",2.99
Lightning Charging Cable,1,14.95,2019-12-14 20:54:00,"847 Lakeview St, San Francisco, CA 94016",14.95
Macbook Pro Laptop,1,1700.0,2019-12-28 14:09:00,"236 10th St, San Francisco, CA 94016",1700.0
Wired Headphones,1,11.99,2019-12-02 19:28:00,"322 Center St, San Francisco, CA 94016",11.99
iPhone,1,700.0,2019-12-11 18:50:00,"940 Cedar St, Atlanta, GA 30301",700.0
Lightning Charging Cable,1,14.95,2019-12-15 19:37:00,"883 Forest St, Dallas, TX 75001",14.95
AA Batteries (4-pack),1,3.84,2019-12-28 20:30:00,"518 10th St, Los Angeles, CA 90001",3.84
USB-C Charging Cable,1,11.95,2019-12-13 11:29:00,"983 Maple St, Los Angeles, CA 90001",11.95
USB-C Charging Cable,1,11.95,2019-12-04 17:19:00,"427 Adams St, San Francisco, CA 94016",11.95
AA Batteries (4-pack),1,3.84,2019-12-29 16:30:00,"177 Adams St, Portland, OR 97035",3.84
Apple Airpods Headphones,1,150.0,2019-12-09 08:19:00,"721 Hickory St, San Francisco, CA 94016",150.0
USB-C Charging Cable,1,11.95,2019-12-22 14:01:00,"788 Wilson St, Portland, ME 04101",11.95
Apple Airpods Headphones,1,150.0,2019-12-21 07:38:00,"707 Cedar St, Los Angeles, CA 90001",150.0
AAA Batteries (4-pack),1,2.99,2019-12-03 15:43:00,"782 Sunset St, New York City, NY 10001",2.99
USB-C Charging Cable,1,11.95,2019-12-12 12:26:00,"691 Jefferson St, Portland, OR 97035",11.95
AAA Batteries (4-pack),1,2.99,2019-12-17 19:01:00,"818 13th St, Seattle, WA 98101",2.99
Lightning Charging Cable,1,14.95,2019-12-08 17:56:00,"393 Washington St, Austin, TX 73301",14.95
AAA Batteries (4-pack),4,2.99,2019-12-22 19:28:00,"844 South St, Dallas, TX 75001",11.96
Apple Airpods Headphones,1,150.0,2019-12-09 07:35:00,"529 South St, San Francisco, CA 94016",150.0
Bose SoundSport Headphones,1,99.99,2019-12-18 17:58:00,"803 North St, San Francisco, CA 94016",99.99
20in Monitor,1,109.99,2019-12-29 14:06:00,"995 Adams St, Portland, ME 04101",109.99
Bose SoundSport Headphones,1,99.99,2019-12-05 20:00:00,"421 Lincoln St, New York City, NY 10001",99.99
Wired Headphones,1,11.99,2019-12-03 16:09:00,"147 Cedar St, Dallas, TX 75001",11.99
Wired Headphones,1,11.99,2019-12-26 17:34:00,"891 Willow St, San Francisco, CA 94016",11.99
Google Phone,1,600.0,2019-12-23 20:59:00,"618 Elm St, San Francisco, CA 94016",600.0
AAA Batteries (4-pack),1,2.99,2019-12-30 16:35:00,"858 Willow St, Dallas, TX 75001",2.99
ThinkPad Laptop,1,999.99,2019-12-20 08:00:00,"732 10th St, Austin, TX 73301",999.99
USB-C Charging Cable,1,11.95,2019-12-27 17:47:00,"701 Lincoln St, San Francisco, CA 94016",11.95
AAA Batteries (4-pack),1,2.99,2019-12-06 18:43:00,"723 Madison St, Boston, MA 02215",2.99
AAA Batteries (4-pack),1,2.99,2019-12-08 11:50:00,"420 5th St, San Francisco, CA 94016",2.99
20in Monitor,1,109.99,2019-12-10 06:34:00,"582 South St, Portland, OR 97035",109.99
iPhone,1,700.0,2019-12-26 08:58:00,"49 Cherry St, Boston, MA 02215",700.0
Macbook Pro Laptop,1,1700.0,2019-12-07 20:59:00,"585 Elm St, Dallas, TX 75001",1700.0
Google Phone,1,600.0,2019-12-30 20:18:00,"524 2nd St, Los Angeles, CA 90001",600.0
Macbook Pro Laptop,1,1700.0,2019-12-29 08:48:00,"814 West St, Los Angeles, CA 90001",1700.0
Lightning Charging Cable,2,14.95,2019-12-20 16:46:00,"135 Madison St, Los Angeles, CA 90001",29.9
27in FHD Monitor,1,149.99,2019-12-18 13:46:00,"397 Johnson St, San Francisco, CA 94016",149.99
Macbook Pro Laptop,1,1700.0,2019-12-25 17:33:00,"843 Main St, Boston, MA 02215",1700.0
USB-C Charging Cable,2,11.95,2019-12-01 21:32:00,"73 Hill St, Boston, MA 02215",23.9
USB-C Charging Cable,1,11.95,2019-12-16 20:15:00,"408 Cherry St, Portland, OR 97035",11.95
27in FHD Monitor,1,149.99,2019-12-10 21:08:00,"833 Jefferson St, Dallas, TX 75001",149.99
Wired Headphones,1,11.99,2019-12-23 16:21:00,"385 River St, San Francisco, CA 94016",11.99
